osmid,y,x,highway,street_count,lon,lat,elevation,ref,geometry
6594718570,5028698.674908863,724765.2746291121,traffic_signals,4,11.8706349,45.3757203,11.021,,POINT (724765.2746291121 5028698.674908863)
702882718,5028658.724116595,724633.2131091151,,3,11.8689322,45.3754035,11.639,,POINT (724633.2131091151 5028658.724116595)
6594718565,5028652.113266522,724755.0199284941,crossing,4,11.8704829,45.375305,11.033,,POINT (724755.0199284941 5028652.113266522)
702882730,5028546.345528945,724687.2005790741,,3,11.8695697,45.3743759,10.667,,POINT (724687.2005790741 5028546.345528945)
702882789,5028669.120458835,724504.2631494143,,3,11.8672921,45.3755383,11.964,,POINT (724504.2631494143 5028669.120458835)
702882845,5028719.863539889,724487.9823099858,,1,11.8671075,45.3759997,11.563,,POINT (724487.9823099858 5028719.863539889)
5421101665,5028872.043256644,724780.496837766,traffic_signals,3,11.870908,45.377274,10.903,,POINT (724780.496837766 5028872.043256644)
5421101686,5028849.490771484,724773.4936516772,traffic_signals,3,11.8708084,45.3770735,11.598,,POINT (724773.4936516772 5028849.490771484)
702882719,5028536.460740513,724621.82358429,,3,11.8687313,45.374308,11.384,,POINT (724621.82358429 5028536.460740513)
702882782,5028651.184641187,724763.2848175014,,3,11.8705879,45.375294,10.703,,POINT (724763.2848175014 5028651.184641187)
6594718560,5028611.487358502,724753.6866044136,,4,11.8704474,45.3749402,10.906,,POINT (724753.6866044136 5028611.487358502)
703847002,5028550.896290491,724733.0661601815,,4,11.8701568,45.3744021,10.839,,POINT (724733.0661601815 5028550.896290491)
703847408,5028533.230643134,724604.2363167598,,3,11.8685055,45.3742846,11.522,,POINT (724604.2363167598 5028533.230643134)
703847316,5028360.20889862,724682.292415187,,1,11.8694224,45.3727041,10.772,,POINT (724682.292415187 5028360.20889862)
5421083147,5028535.841078436,724735.4143810992,,3,11.8701799,45.374266,10.773,,POINT (724735.4143810992 5028535.841078436)
702882756,5028615.183554323,724589.1385369874,,1,11.8683502,45.3750262,11.915,,POINT (724589.1385369874 5028615.183554323)
5421101697,5028919.725784271,724730.2139452209,,3,11.8702883,45.3777188,10.626,,POINT (724730.2139452209 5028919.725784271)
702882975,5028932.721308735,724690.7177850513,,3,11.8697904,45.3778483,11.337,,POINT (724690.7177850513 5028932.721308735)
5421101700,5028882.12086975,724731.8694878925,,3,11.8702923,45.3773802,10.869,,POINT (724731.8694878925 5028882.12086975)
702882774,5028870.32307265,724732.2983409204,,3,11.8702924,45.377274,11.07,,POINT (724732.2983409204 5028870.32307265)
6594723692,5028871.835093269,724765.9384960877,traffic_signals,4,11.8707222,45.3772768,11.211,,POINT (724765.9384960877 5028871.835093269)
702882892,5028866.837501928,724669.5265275621,,3,11.8694901,45.3772628,11.679,,POINT (724669.5265275621 5028866.837501928)
